Citekey,Title,Author(s),Editor(s),Translator(s),Year,Date,Published In,Entry Type,Entry Type (original),Publisher,Location,Series,Volume,Number,Pages,Event/Title,DOI,URL,Note,Generation,Detection Method,Detection Confidence,Enriched Via,Completeness Score,Completeness Detail,Data Quality Flags,Correction Note,Corrections Applied,Source PDF,Source Footnote,Raw Citation (as extracted),Cited By (citekeys),Reviewer: Correct? (Y/N),Reviewer: Notes
davis1992,Exchange,"Davis, J.",,,1992,1992,Jysk Arkaeologisk Selskab,article,,University of Minnesota Press,Minneapolis,,1,1,,,,,,F2,,,,0.83,"partial (missing: pages, doi)",,Recovered from _raw_citation.,"title, title, title, title, title, title, title, title, +953 more",Skre 2016 - Post-Substantivist Production and Trade Specialized Sites for Trade and Craft Production in Scandin.pdf,,"Davis, J, 1992 Exchange, University of Minnesota Press, Minneapolis Feveile, C (ed), 2006 Det aeldste Ribe: Udgravninger pa ˚nordsiden af Ribe A ˚1984-2000, Ribe Studier vol 1.1, Jysk Arkaeologisk Selskab, Højbjerg",skre2015,,
foxhall2000,The Running Sands of Time: Archaeology and the Short Term,"Foxhall, Lin",,,2000,2000,World Archae ology,article,,Informa UK Limited,,,31,3,484--499,,10.1080/713781497,,,F2,,,crossref,1.00,complete,,,,Arwill-Nordbladh et al  2007 - Memory and Material Culture The Rune Stone at Rök.pdf,,"Foxhall, Lin 2000. The running sands of time: Archaeology and the short term. World Archae ology vol 31,3:484-499.",arwillnordbladh2007,,
wouters2016,Geoarchaeological and Micromorphological Approaches to the Formation and Biographies of Early Medieval Towns in Northwest Europe,"Wouters, Barbora; Milek, KAREN B.; Devos, Yannick; Tys, Dries","Jervis, Ben; Broderick, L. G.; Sologestoa, I. G.",,2016,2016,"Objects, environment, and everyday life in medieval Europe. Studies in the history of daily life",incollection,,Brepols Publishers,,,,,279--295,Turnhout,,,,F1,,,,0.92,complete (missing: location),,,,Wouters et al  2016 - Soil Micromorphology in Urban Research Early Medieval Antwerp (Belgium) and Viking Age Kaupang (Nor.pdf,,"Wouters, B., Milek, K., Devos, Y., and Tys, D. (2016). Soil micromorphology in urban research: Early medieval Antwerp (Belgium) and Viking Age Kaupang (Norway). In Jervis, B., Broderick, L. G., and Sologestoa, I. G. (eds.), Objects, Environment, and Everyday Life in Medieval Europe, Brepols Publishers, Turnhout, pp. 279-295.","lund2021, croix2019",,
hallgren2005,"För gårdens välgång. kult och rit i järnålderns långhus, vridkvarnsofer i stolphål","Hallgren, A.-L","Karlenby, Leif",,2005,2005,Tidens resenärer. Arkeologiska händelser längs vägen mellan Köping och Kolsva,incollection,,,,,,,79--92,,,,,F2,,,,0.83,"partial (missing: publisher, location)",,,,Zachrisson 2014 - Rotary Querns and Bread A Social History of Iron Age Sweden.pdf,,"Hallgren, A.-L. 2005. För gårdens välgång. Kult och rit i järnålderns långhus, vridkvarnsofer i stolphål. In Karlenby, L. (ed.). Tidens resenärer. Arkeologiska händelser längs vägen mellan Köping och Kolsva, pp. 79-92.",zachrisson2014a,,
carlsson1999,"Gård, hamn och kyrka: en vikingatida kyrkogård i Fröjel, Gotland","Carlsson, D.",,,1999,1999,,book,,"Gotland University College, Centre for Baltic Studies",Visby,,,,,,,,,F2,,,,0.78,"partial (missing: publisher, isbn)",,"Repointing to gardela2018, the F1 paper this entry was extracted from (matched by author surname and year against _source_pdf).","cited_by, cited_by, cited_by, cited_by, cited_by, cited_by, cited_by, cited_by, +171 more",Gardeła 2018 - Amazons of the North Armed Females in Viking Archaeology and Medieval Literature.pdf,,"Carlsson 1999: Dan Carlsson, ""Ridanäs"". Vikingahamnen i Fröjel (ArkeoDok Skrifter Nr 2/CCC Papers 2). Visby 1999.",gardela2018,,
oka2008,"The Archaeology of Trading Systems, Part 1: Towards a New Trade Synthesis","Oka, Rahul; Kusimba, Chapurukha M.",,,2008,2008,Journal of Archaeological Research,article,,Springer Science and Business Media LLC,,,16,4,339--395,,10.1007/s10814-008-9023-5,,,F2,,,crossref,1.00,complete,,,,Downham 2016 - Coastal Communities and Diaspora Identities in Viking Age Ireland.pdf,,"Oka, R and Kusimba, C M, 2008 'The archaeology of trading systems, part 1: towards a new trade synthesis', Journal of Archaeological Research 16, 339-395","downham2015, thend",,
davidson1992,An Evaluation of Micromorphology as an Aid to Archaeological Interpretation,"Davidson, Donald A.; Carter, Stephen P.; Quine, Timothy A.","Brink, Stefan ;; Price, N. S.",,1992,1992,Geoarchaeol,article,incollection,Wiley,,,7,1,54--55,Woodbridge; Hoboken,10.1002/gea.3340070105,,,F2,,,crossref,0.92,complete (missing: location),,,,Fontaine 2017 - Early medieval slave-trading in the archaeological record Comparative methodologies.pdf,,"H.E. Davidson, 'Human Sacrifice in the Late Pagan Period in North Western Europe',i n M.O.H. Carver (ed.), The Age of Sutton Hoo (Woodbridge, 1992), p. 334. S. Brink, 'Slav- ery in the Viking Age', in S. Brink and N. Price (eds), The Viking World (Hoboken, 2008), pp. 54-5.","fontaine2017, milek2012",,
obrien1992,The Role of Adaptation in Archaeological Explanation,"O'brien, Michael J.; Holland, Thomas D.",,,1992,1992,American Antiquity,article,,Cambridge University Press (CUP),,,57,1,36--59,,10.2307/2694834,,,F2,,,crossref,1.00,complete,,,,Brewer and Riede 2018 - Cultural Heritage and Climate Adaptation A Cultural Evolutionary Perspective for the Anthropocene.pdf,,"O'Brien, M. J., and T. D. Holland. 1992. ""The Role of Adaptation in Archaeological Explanation."" American Antiquity 57: 36-59. doi:10.2307/2694834.",brewer2018,,
rundkvist2007,Early Medieval Mortuary Practices. Anglo-Saxon Studies in Archaeology and History 14,"Rundkvist, Martin &; Stilborg, Ola &; Williams, Howard",,,2007,2007,Östergötland. Fornvännen,article,,,Oxford,,102,,279--281,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Williams 2014 - Memory through Monuments Movement and Temporality in Skamby’s Boat Graves.pdf,,"Rundkvist, Martin, Stilborg, Ola & Williams, Howard 2007. Copper alloy casting at Skamby in Kuddby parish, Östergötland. Fornvännen 102: 279-281","williams2014, williams2016",,
nagy1976,"Fornlämning 5, Bronsåldershög, Bunkeflo sn","Nagy, B.",,,1976,1976,,book,,Riksantikvarieämbetet,Skåne; Stockholm,,,,,,,,,F2,,,,0.89,complete (missing: isbn),,,,Artelius 2013 - Inventions of Memory and Meaning Examples of Late Iron Age Reuse of Bronze Age Monuments in South-W.pdf,,"Nagy, B. 1976. Fornlämning 5, Bronsåldershög, Bunkeflo sn, Skåne. Riksantikvarieämbetet Rapport 1976 B30. Stockholm: Riksantikvarieämbetet.",artelius2013,,
