node_id,community_id,label
barrett2010,101,Viking Age Bioarchaeology and Migration
barrett2008,101,Viking Age Bioarchaeology and Migration
raven2005,101,Viking Age Bioarchaeology and Migration
sheehan1998,101,Viking Age Bioarchaeology and Migration
hughes1994,101,Viking Age Bioarchaeology and Migration
bradley2003,101,Viking Age Bioarchaeology and Migration
arneborg2003,101,Viking Age Bioarchaeology and Migration
arrhenius1995,101,Viking Age Bioarchaeology and Migration
ashby2006,101,Viking Age Bioarchaeology and Migration
smith1993,101,Viking Age Bioarchaeology and Migration
barrett2003,101,Viking Age Bioarchaeology and Migration
besteman2004,101,Viking Age Bioarchaeology and Migration
bolin1953,101,Viking Age Bioarchaeology and Migration
brettell2000,101,Viking Age Bioarchaeology and Migration
brooks1971,101,Viking Age Bioarchaeology and Migration
burstrom1993,101,Viking Age Bioarchaeology and Migration
byock2001,101,Viking Age Bioarchaeology and Migration
carver1990,101,Viking Age Bioarchaeology and Migration
carver1995,101,Viking Age Bioarchaeology and Migration
clover1988,101,Viking Age Bioarchaeology and Migration
coupland1998,101,Viking Age Bioarchaeology and Migration
dahljensen1998,101,Viking Age Bioarchaeology and Migration
dansgaard1975,101,Viking Age Bioarchaeology and Migration
downham2007,101,Viking Age Bioarchaeology and Migration
dumville2002,101,Viking Age Bioarchaeology and Migration
dyer2002,101,Viking Age Bioarchaeology and Migration
earle1997,101,Viking Age Bioarchaeology and Migration
edwards2005,101,Viking Age Bioarchaeology and Migration
englert2007,101,Viking Age Bioarchaeology and Migration
etchingham1996,101,Viking Age Bioarchaeology and Migration
etchingham2007,101,Viking Age Bioarchaeology and Migration
forenbaher2005,101,Viking Age Bioarchaeology and Migration
fossier1999,101,Viking Age Bioarchaeology and Migration
grahamcampbell1975,101,Viking Age Bioarchaeology and Migration
hadley2006,101,Viking Age Bioarchaeology and Migration
halsall2003,101,Viking Age Bioarchaeology and Migration
hannon2005,101,Viking Age Bioarchaeology and Migration
hansen2000,101,Viking Age Bioarchaeology and Migration
haywood1999,101,Viking Age Bioarchaeology and Migration
heinsohn2003,101,Viking Age Bioarchaeology and Migration
hernaes1997,101,Viking Age Bioarchaeology and Migration
hill1981,101,Viking Age Bioarchaeology and Migration
hill2001,101,Viking Age Bioarchaeology and Migration
hills2003,101,Viking Age Bioarchaeology and Migration
hodges1983,101,Viking Age Bioarchaeology and Migration
holm1986,101,Viking Age Bioarchaeology and Migration
hunter2007,101,Viking Age Bioarchaeology and Migration
johnson2001,101,Viking Age Bioarchaeology and Migration
jonsson1911,101,Viking Age Bioarchaeology and Migration
karlsson1997,101,Viking Age Bioarchaeology and Migration
keegan2004,101,Viking Age Bioarchaeology and Migration
keynes1997,101,Viking Age Bioarchaeology and Migration
kristoffersen2004,101,Viking Age Bioarchaeology and Migration
kuhn1977,101,Viking Age Bioarchaeology and Migration
lund1989,101,Viking Age Bioarchaeology and Migration
magi1999,101,Viking Age Bioarchaeology and Migration
michelli1993,101,Viking Age Bioarchaeology and Migration
minorsky1958,101,Viking Age Bioarchaeology and Migration
montgomery2006,101,Viking Age Bioarchaeology and Migration
montgomery2003,101,Viking Age Bioarchaeology and Migration
morris1998,101,Viking Age Bioarchaeology and Migration
mullerwille1994,101,Viking Age Bioarchaeology and Migration
myhre1987,101,Viking Age Bioarchaeology and Migration
nelson1991,101,Viking Age Bioarchaeology and Migration
nelson1997,101,Viking Age Bioarchaeology and Migration
nondier2002,101,Viking Age Bioarchaeology and Migration
croinin1995,101,Viking Age Bioarchaeology and Migration
oppenheimer2007,101,Viking Age Bioarchaeology and Migration
owen1999,101,Viking Age Bioarchaeology and Migration
paterson2001,101,Viking Age Bioarchaeology and Migration
pirenne1939,101,Viking Age Bioarchaeology and Migration
reuter1985,101,Viking Age Bioarchaeology and Migration
ridel2007,101,Viking Age Bioarchaeology and Migration
roesdahl1991,101,Viking Age Bioarchaeology and Migration
santiagoirizarry2008,101,Viking Age Bioarchaeology and Migration
sawyer1982,101,Viking Age Bioarchaeology and Migration
scholz1970,101,Viking Age Bioarchaeology and Migration
simek2004,101,Viking Age Bioarchaeology and Migration
skre2001,101,Viking Age Bioarchaeology and Migration
small1973,101,Viking Age Bioarchaeology and Migration
stefansson2003,101,Viking Age Bioarchaeology and Migration
wallace2003,101,Viking Age Bioarchaeology and Migration
warner1976,101,Viking Age Bioarchaeology and Migration
weber1992,101,Viking Age Bioarchaeology and Migration
westerdahl2008,101,Viking Age Bioarchaeology and Migration
wicker1998,101,Viking Age Bioarchaeology and Migration
woolf2007,101,Viking Age Bioarchaeology and Migration
wormald1982,101,Viking Age Bioarchaeology and Migration
anchukaitis2017,14,Millennial Paleoclimatic Reconstructions
mckay2014,14,Millennial Paleoclimatic Reconstructions
meehl2004,14,Millennial Paleoclimatic Reconstructions
meko1997,14,Millennial Paleoclimatic Reconstructions
melvin2008,14,Millennial Paleoclimatic Reconstructions
melvin2004,14,Millennial Paleoclimatic Reconstructions
michaelson1987,14,Millennial Paleoclimatic Reconstructions
morice2012,14,Millennial Paleoclimatic Reconstructions
muscheler2007,14,Millennial Paleoclimatic Reconstructions
naulier2015,14,Millennial Paleoclimatic Reconstructions
ogurtsov2016,14,Millennial Paleoclimatic Reconstructions
oman2005,14,Millennial Paleoclimatic Reconstructions
ortega2015,14,Millennial Paleoclimatic Reconstructions
pausata2015,14,Millennial Paleoclimatic Reconstructions
