"node_id","community_id"
"lund2021",1
"aannestad2018",2
"heenpettersen2019",3
"heenpettersen2018",4
"lund2016",5
"moen2020",6
"oehrl2019",7
"ahfeldt2015",8
"ambrosiani2015",9
"croix2015",10
"price2018",11
"vonholstein2014",12
"warmlander2015",13
"amundsen2017",14
"lund2019",15
"solli2018",16
"anchukaitis2017",17
"fabech2013",18
"dobat2006",19
"gustafssonnd",20
"kalmring2013",21
"larsson2007",22
"price2006",23
"zachrisson2017",24
"zachrissonnd",25
"fahlander2016",26
"NOAUTHOR21",27
"strand2011",28
"eriksen2013",29
"NOAUTHOR11",30
"jorgensennd",31
"andrennd",32
"lund2008",33
"lund2020",34
"lund2005",35
"lund2004",36
"lundborgnd",37
"lund2017",38
"raffield2018",39
"zoega2017",40
"williams2016",41
"andren2013",42
"glorstad2012",43
"lund2015",44
"lund2013",45
"NOAUTHOR16",46
"lund2010",47
"skre2019",48
"jessen2016",49
"pricendb",50
"mannering2013",51
"oehrl2017",52
"magnell2010",53
"NOAUTHOR25",54
"NOAUTHOR39",55
"gardela2018",56
"gustafsson2016",57
"raffield2019",58
"androshchuk2018",59
"billnd",60
"bill2019",61
"burstrom2015",62
"glorstad2017",63
"odeback2018",64
"edberg2019",65
"feveile2011",66
"NOAUTHOR8",67
"hilberg2013",68
"hedenstiernajonson2015",69
"hilberg2014",70
"hilberg2018",71
"kalmring2010",72
"NOAUTHOR36",73
"voncarnapbornheim2014",74
"arneborg2012",75
"dugmore2012",76
"smith2018",77
"hartman2017",78
"jackson2018",79
"lynnerupnd",80
"frei2015",81
"arwillnordbladhnd",82
"artelius2005",83
"artelius2013",84
"pedersen2006",85
"wickholm2006",86
"harris2017",87
"gardeland",88
"hennius2018",89
"vesteinsson2016",90
"williams2014",91
"fahlander2018",92
"pricend",93
"osullivan2015",94
"raffield2016",95
"price2019",96
"glorstad2015",97
"arwillnordbladh2012",98
"arwillnordbladh2013",99
"ashby2015",100
"baug2019",101
"croix2019",102
"loftsgarden2019",103
"pilo2020",104
"perry2016",105
"thend",106
"sindbaek2018",107
"raja2018",108
"rosvold2019",109
"sindbaek2017",110
"griffiths2019",111
"backdanielsson2016",112
"gardela2007",113
"price2014",114
"barndon2018",115
"pedersenndb",116
"barrett2010",117
"krzewinska2015",118
"naumann2014",119
"montgomery2014",120
"NOAUTHOR22",121
"raninen2014",122
"sheehannd",123
"sindbaeknd",124
"sindbaek2011",125
"star2017",126
"pilo2018",127
"downham2015",128
"mainland2018",129
"sindbaek2016",130
"bergstol2004",131
"kemmers2011",132
"nielsen2011",133
"baug2017",134
"svendsen2019",135
"beck2018",136
"grupe2013",137
"zachrisson2018",138
"rasmussen2014",139
"jahnsen2016",140
"stene2017",141
"kristjansdottir2015",142
"bill2017",143
"bill2016",144
"fredriksen2014",145
"gullbekk2014",146
"pedersen2015",147
"macphail2013",148
"axelsen2014",149
"gardela2015",150
"jagodzinski2014",151
"weissnd",152
"iversennd",153
"sanmark2013",154
"richards2018",155
"helama2017",156
"eriksen2017",157
"ellingsen2019",158
"price2010",159
"catlin2016",160
"jarman2018",161
"peschel2017",162
"raffield2015",163
"stott2019",164
"ulriksen2018",165
"pedersen2019",166
"NOAUTHOR28",167
"devos2013",168
"wouters2016",169
"dugmore2007",170
"keller2016",171
"tainter2006",172
"carver2015",173
"pluskowskind",174
"runge2018",175
"domeijlundborg2012",176
"tonning2020",177
"schneidhofer2017",178
"barrett2008",179
"vesteinssonnd",180
"schmid2017",181
"beck2017",182
"spangennd",183
"hillerdal2010",184
"dobat2013",185
"christiansen2019",186
"feveile2009",187
"baug2015",188
"martin2020",189
"frei2012",190
"henriksen2017",191
"price2012",192
"furholt2019",193
"frieman2019",194
"milek2012",195
"hedenstiernajonson2017",196
"NOAUTHOR14",197
"toplak2018",198
"toplak2015",199
"forest2011",200
"gustin2017",201
"pedersen2017",202
"christensen2018",203
"heenpettersen2014",204
"ijssennagger2015",205
"kershaw2017",206
"raffield2014",207
"rogers2020",208
"svendsen2016",209
"skre2017",210
"williams2015",211
"hadley2018",212
"hadley2016",213
"mcleod2011",214
"williams2017",215
"buckberry2014",216
"leonard2011",217
"price2020",218
"hrnjic2018",219
"harrison2015",220
"kelly2015",221
"lund2006",222
"NOAUTHOR18",223
"eriksen2016",224
"hedeager2010",225
"kalmring2018",226
"draganits2014",227
"linderholm2008",228
"price2011",229
"kalmring2017",230
"kalmring2012",231
"krzewinska2018",232
"helmbrecht2012",233
"sindbaek2014",234
"jessen2014",235
"holst2014",236
"holst2013",237
"tummuscheitnd",238
"tveiten2017",239
"bonde2016",240
"glorstad2014",241
"roslund2005",242
"baastrup2014",243
"gotfredsen2013",244
"henriksen2014",245
"borake2018",246
"kershaw2016",247
"knudson2012",248
"hardhnd",249
"poulsen2011",250
"bill2012",251
"gustavsson2015",252
"androshchuk2010",253
"graslundnd",254
"lindholm2016",255
"ljungkvist2018",256
"ljungkvist2015",257
"chenery2014",258
"lucas2007",259
"ijssennagger2013",260
"becket2013",261
"cannellnd",262
"macphail2016",263
"magi2015",264
"gotfredsen2014",265
"milek2013",266
"burstrom2014",267
"ingvardson2012",268
"abrams2012",269
"pedersennd",270
"wrcnd",271
"pedersennda",272
"NOAUTHOR32",273
"frei2011",274
"becker2012",275
"olend",276
"rosengren2010",277
"NOAUTHOR33",278
"leslie2015",279
"reiter2019",280
"pricenda",281
"imer2014",282
"tummuscheit2014",283
"feveile2017",284
"goodchild2017",285
"roslund2015",286
"roslund2017",287
"roslund2013",288
"sanmarkndb",289
"sindbaek2007",290
"skre2015",291
"knappett2025",292
"sindbaeknda",293
"skrend",294
"NOAUTHOR31",295
"smith2013",296
"oye2014",297
"fallgren2008",298
"rundkvist2014",299
"christensen2013",300
"steinforth2015",301
"sutherland2015",302
"halstadmcguire2010",303
"kershaw2009",304
"vesteinsson2012",305
"holst2010",306
"fischer2011",307
"lemm2014",308
"brewer2018",309
"neiss2016",310
"pollard2012",311
"myrberg2007",312
"kershaw2018",313
"rundkvist2010",314
"furholt2018",315
"NOAUTHOR24",316
"oye2016",317
"storli2010c",318
"price2016",319
"gullbekk2011",320
"svensson2018",321
"andren2000",322
"staeckernd",323
"rohdesloth2012",324
"mulk2007",325
"naum2004",326
"solli2011",327
"NOAUTHOR38",328
"trinks2014",329
"kovalenko2013",330
"gustafsson2011",331
"ibsen2010",332
"buntgen2016",333
"zori2013",334
"bitzthorsen2018",335
"NOAUTHOR19",336
"myrberg2008",337
"feveile2012",338
"benderjorgensen2009",339
"boyd2013",340
"sutherland2009",341
"fontaine2017",342
"sanmarknd",343
"arwillnordbladh2007",344
"magi2011",345
"richards2012",346
"majchczack2018",347
"naum2007",348
"halewood2001",349
"nosov2018",350
"gareth2019",351
"wicker2012",352
"ahfeldt2013",353
"svensson2009",354
"sanmarknda",355
"skorokhod2020",356
"aannestad2015",357
"ahola2014",358
"ambrosiani2013",359
"andersson2004",360
"andersson2016",361
"andersson2008",362
"andren2002",363
"andren2004",364
"androshchuk2013",365
"androshchuk2014",366
"androshchuk2012",367
"androshchuk2016",368
"arents2010",369
"armbruster2010",370
"artelius2004",371
"artelius2007",372
"arwillnordbladh1998",373
"arwillnordbladh2008",374
"ashby2014",375
"s2019",376
"backdanielsson2007",377
"barndon2005",378
"ed2012",379
"barth1969",380
"e2014",381
"bergstol2008",382
"beroniusjorpeland2018",383
"bhabha1994",384
"bill2020",385
"bjerg2013",386
"blaszczyk2017",387
"d2016",388
"bogucki2012",389
"borake2019",390
"brather2013",391
"brink2011",392
"callmer2017",393
"cannell2016",394
"clarke2017",395
"croix2012",396
"croix2016",397
"croix2020",398
"crumlinpedersen2010",399
"diamond2005",400
"dobat2014",401
"domeijlundborg2004",402
"draganits2015",403
"englert2015",404
"eriksen2019",405
"eriksen1994",406
"eriksson2018",407
"forster2009",408
"frog2014",409
"gardela2008",410
"gardela2013",411
"gardela2012",412
"gerds2015",413
"gjerpe2008",414
"gjerpe2017",415
"gossler2018",416
"grahamcampbell2013",417
"grahamcampbell2011",418
"graslund2007",419
"graslund2018",420
"griffiths2003",421
"gruszczynski2018",422
"hadley2013",423
"hall2014",424
"hallansstenholm2012",425
"hansen2017",426
"hansson2018",427
"hardh2010",428
"hardh2016",429
"harrison2014",430
"hedjakobsson2003",431
"hedeager2003",432
"hedeager2004",433
"hedeager2011",434
"hedenstiernajonson2006",435
"hedenstiernajonson2012",436
"helmbrecht2011",437
"hillerdal2009",438
"n2017",439
"hodges2012",440
"holmquist2013",441
"iversen2013",442
"iversen2015",443
"jackson2019",444
"jankowiak2018",445
"janowski2015",446
"jennbert2015",447
"jensen2010",448
"jesch2015",449
"jones1997",450
"jorgensen2009",451
"jorgensen2010",452
"kastholmhansen2015",453
"kershaw2013",454
"kershaw2019",455
"kirpichnikov2018",456
"kleingartner2013",457
"lia2002",458
"ljungkvist2006",459
"ljungkvist2011",460
"loe2014",461
"lund2009",462
"madsen2010",463
"magi2018",464
"magi2019",465
"mehler2015",466
"melheim2016",467
"merkel2016",468
"mikhaylov2016",469
"moen2011",470
"moen2019",471
"moesgaard2015",472
"mozdzioch2013",473
"myhre2015",474
"myrberg2009",475
"naum2008",476
"nordahl2018",477
"nordeide2016",478
"norstein2020",479
"opedal2010",480
"oye2013",481
"paterson2014",482
"pearson2018",483
"pedersen2004",484
"pedersen2009",485
"pedersen2014",486
"pedersen2016",487
"perry2019",488
"pilo2005",489
"pluskowski2010",490
"price2000",491
"price2002",492
"price2001",493
"price2008",494
"puskina2017",495
"raffield2017",496
"ravn2012",497
"rebkowski2019",498
"roesdahl2014",499
"roslund2007",288
"rundberget2017",500
"rundkvist2015",501
"russel2014",502
"said1978",503
"sanmark2017",504
"schietzel2014",505
"schultze2008",506
"semple2013",507
"sharples2020",508
"sindbaek2013",509
"skre2008",510
"skre2011",511
"soderberg2005",512
"solli2002",513
"sovso2014",514
"spangen2006",515
"staecker2004",516
"stanislawski2013",517
"stanislawski2014",518
"stidsing2014",519
"svanberg2003",520
"thate2007",521
"toplak2016",522
"tummuscheit2011",523
"turner2006",524
"ulriksen2019",525
"vedeler2014",526
"vesteinsson2014",527
"vonholstein2016",528
"wallace2016",529
"wickham2005",530
"williams2020",531
"wilson2018",532
"zachrisson2004",533
"zachrisson2011",534
"zori2014",535
"strand2001",536
"andren2014",537
"birkett2020",538
"brorsson2010",539
"cooijmans2020",540
"christiansen2014",541
"dobat2010",542
"gardela2016",543
"gjerde2009",544
"glorstad2010",545
"graslund2010",546
"grundvad2017",547
"gustafsson2013",548
"laroche1997",549
"lemm2013",550
"lynnerup2014",551
"mcanany2010",552
"morawiec2009",553
"nordeide2011",554
"olsson2004",555
"price2015",556
"ratican2020",557
"roesdahl2009",558
"rundkvist2011",559
"rostad2016",560
"sheehan2013",561
"sindbaek2009",562
"steinforth2018",563
"sveinbjarnardottir2016",564
"ulriksen2011",565
"williams2010",566
"zachrisson2014",567
"NOAUTHOR1",568
"ambrosiani2001",569
"graslund1984",570
"hraundal2013",571
"ilisch1990",572
"jansson1986",573
"jansson1987",574
"jansson1989",575
"wikander1978",576
"aannestad2016",577
"andren2011",578
"baastrup2012",579
"baastrup2010",580
"bagge1991",581
"bakka1963",582
"bakka1961",583
"bakka1971",584
"blackburn2002",585
"blindheim1973",586
"blindheim1999",587
"blindheim1995",588
"boe1940",589
"callmer1992",590
"callmer2008",591
"cramp1997",592
"downham2008",593
"dumville2008",594
"ekengren2009",595
"gaut2001",596
"gaut2011",597
"geber1991",598
"gosden1999",599
"grahamcampbell2000",600
"gustin2004",601
"hahn2013",602
"hedeager2002",603
"hedeager1992",604
"helms1993",605
"heyerdahllarsen1981",606
"hines1984",607
"hodder1982",608
"hodder1986",609
"hagg1974",610
"jansson1984",611
"vidar2010",612
"kopytoff2010",613
"krag1994",614
"kristiansen2005",615
"maran2012",616
"marstrander1963",617
"mauss1950",618
"mikkelsen2002",619
"myhre1992",620
"croinin1989",621
"pedersen2008",622
"peets2012",623
"petersen1940",624
"raven2005",625
"rogers2006",626
"simonsen1981",627
"skaare1963",628
"skaare1976",629
"solli1995",630
"thomas1991",631
"waller1982",632
"wamers1985",633
"wamers2011",634
"williams2008",635
"wilson1984",2
"wilson2006",636
"amundsen2001",637
"amundsen2011",638
"amundsen2015",639
"amundsen2007",640
"apel2001",641
"apel2005",642
"aronsson1991",643
"askeladden2015",644
"bakka1973",645
"bakka1976",646
"barth1976",647
"barth1996",648
"baudou1987",649
"bergman2016",650
"bergsland1992",651
"bergstol1997",652
"bergstol2009",653
"bjorn1934",654
"boaz1997",655
"bolstad1980",656
"braseth2014",657
"brendalsmo2003",658
"brogger1942",659
"bull2002",660
"byggstoyl2012",661
"damm2010",662
"fjellheim1999",663
"fjellheim2012",664
"forsberg2005",665
"fossum2006",666
"fredriksen1983",667
"fuglesang1980",668
"fuglestvedt2006",669
"gjerde2016",670
"gjessing1945",671
"grandell1986",672
"grimbe2013",673
"gustafson1988",674
"gustavsen2014",675
"hagen1946",676
"hagstrom2010",677
"hallgren2008",678
"hansen2004",679
"hansen2014",680
"hedman2003",681
"helstad2001",682
"hildre2012",683
"hole2013",684
"holm1991",685
"holm2016",686
"holseng2004",687
"hougen1947",688
"indreko1956",689
"jenkins2008",690
"johansen1981",691
"kleppe1977",692
"lannerbro1976",693
"marstrander1977",694
"mathiesen2005",695
"melheim2015",696
"mikkelsen1994",697
"mikkelsen1975",698
"mjaerum2012",699
"mulk1994",700
"myhre1962",701
"norell1987",702
"nou2007",703
"nyland2016",704
"odner1983",705
"odner2000",706
"ojala2009",707
"olsen1985",708
"olsen1991",709
"pareli1991",710
"prescott2009",711
"schanche1985",712
"scheen1979",713
"serning1966",714
"sjurseike1994",715
"skandfer1996",716
"skjolsvold1980",717
"skjolsvold1981",718
"skjolsvold1984",719
"smith2006",720
"soborg1988",721
"solberg1986",722
"sommerseth2011",723
"spangberg2014",724
"spangen2010",725
"stene2010",726
"stenvik1988",727
"svensson2006",728
"swensen2017",729
"trigger2006",730
"vorren1965",731
"wegraeus1971",732
"zachrisson1997",733
"zachrisson2015",734
"abrams2004",735
"phil2010",736
"fanning1994",737
"sheehan1998",738
"sheehan2009",739
"omeadhra1979",740
"blackburn1981",741
"hilberg2009",742
"glorstad1987",743
"grahamcampbell1984",744
"jensen1968",745
"davidson1962",746
"grinsell1961",747
"bjorn1940",748
"kovalev2004",749
"arbman1940",750
"arne1914",751
"bearman2014",752
"nordvestrusland1986",9
"anonymous2012",753
"ljung2010",754
"lang2001",755
"cohen2004",756
"jesch2002",757
"whaley2004",758
"tweddle1995",759
"coatsworth2008",760
"townend2018",761
"grahamcampbell1980",762
"wamers2009",763
"grahamcampbell2007",764
"parsons2002",765
"brunning2013",766
"sonderso2005",767
"stenalt1960",768
"kolindsund1936",769
"luhm1903",770
"androshchuk2001",771
"androshchuk2002",772
"androshchuk2003",773
"androshchuk2007",774
"androshchuk2009",775
"androshchuk2004",776
"appadurai1937",777
"arbman1937",778
"arbman1966",779
"arrhenius1985",780
"bazelmans1999",781
"bergman1976",782
"behmer1939",783
"behrend1936",784
"brondsted1936",785
"chase1979",786
"colmo1953",787
"cross1914",788
"falk1914",789
"gameson2001",790
"gansum1991",791
"geibig1992",792
"grahamcampbell1968",793
"gurevich1968",794
"habbe2005",795
"hakonarherdibreids1991",796
"helgessonnd",797
"harke2000",798
"jacobsen1942",799
"nasman1991",800
"jorgensen1966",801
"lavrsen1960",802
"maixner1990",803
"mauss1980",804
"menghin1980",805
"mullerwille1978",806
"mullerwille1984",807
"mullerwille1980",808
"north1980",809
"nasman1989",810
"ostergren1976",811
"olsson1975",812
"owencrocker1966",813
"ornes1966",814
"paulsen1953",815
"pedersen1995",816
"pedersen1997",817
"pedersen2002",818
"peirce1919",819
"petersen1919",820
"rydbeck1932",821
"schulzedorrlamm1987",822
"handelderwikingerzeitzwischennordundwesteuropaaufgrundarchaologischerzeugnisse1987",823
"klaesoe2005",824
"smidt1991",825
"stocklund1985",826
"strid1961",827
"stromberg1946",828
"svanberg1995",829
"thunmarknylen1995",830
"thunmarknylen2001",831
"bergman2005",832
"thalinbergman2000",833
"theuws2000",834
"turvillepetre1960",835
"wamers1930",836
"whitelock1955",837
"willemsen2004",838
"wilson1955",839
"wrenn1958",840
"zachrisson1984",841
"zachrisson2012",14
"ammann2007",842
"ammann2003",843
"anchukaitis2014",844
"anchukaitis2012",845
"anchukaitis2010",846
"anchukaitis2013",847
"anchukaitis2006",848
"andreuhayles2011",849
"andronova2000",850
"autin2015",851
"biondi1999",852
"bjeurorklund2015",853
"bjeurorklund2014",854
"bowman1997",855
"bradley2001",856
"breitenmoser2012",857
"briffa1993",858
"briffa1994",859
"briffa1995",860
"briffa2000",861
"briffa1996",862
"briffa1998",863
"briffa2011",864
"briffa2013",865
"briffa2004",866
"briffa2002",867
"brohan2012",868
"buckley2010",869
"buntgen2006",870
"buntgen2013",871
"buntgen2011",872
"buntgen2014",873
"campbell2007",874
"coledai2013",875
"cook1990",876
"cook1987",877
"cook2010",878
"cook1994",879
"cook1995",880
"cook2013",881
"cook1999",882
"cowtan2014",883
"crowley2000",884
"crowley2008",885
