"node_id","community_id"
"lund2021",1
"aannestad2018",2
"heenpettersen2019",3
"heenpettersen2018",4
"lund2016",5
"moen2020",6
"ambrosiani2015",7
"croix2015",8
"price2018",9
"vonholstein2014",10
"warmlander2015",7
"amundsen2017",11
"lund2019",12
"solli2018",13
"anchukaitis2017",14
"fabech2013",15
"dobat2006",16
"gustafssonnd",17
"kalmring2013",18
"larsson2007",19
"price2006",20
"zachrisson2017",21
"zachrissonnd",22
"fahlander2016",23
"NOAUTHOR21",24
"strand2011",25
"eriksen2013",26
"jorgensenndb",27
"jorgensennd",28
"andrennd",29
"lund2008",30
"lund2020",31
"lund2005",32
"lund2004",32
"lundborgnd",33
"lund2017",34
"raffield2018",35
"zoega2017",36
"williams2016",37
"andren2013",38
"glorstad2012",39
"lund2015",40
"lund2013",41
"ljungkvist2011a",42
"lund2010",30
"skre2019",43
"jessen2016",44
"pricendb",45
"mannering2013",46
"oehrl2017",47
"magnell2010",48
"price2008a",49
"zachrisson2014a",50
"gardela2018",51
"gustafsson2016",52
"raffield2019",53
"androshchuk2018",54
"billnd",55
"bill2019",56
"burstrom2015",57
"glorstad2017",58
"odeback2018",59
"edberg2019",60
"feveile2011",61
"gardelanda",62
"hilberg2013",63
"hedenstiernajonson2015",60
"hilberg2014",64
"hilberg2018",65
"kalmring2010",66
"ulriksen2011a",67
"voncarnapbornheim2014",68
"arneborg2012",69
"dugmore2012",70
"smith2018",71
"hartman2017",72
"jackson2018",73
"lynnerupnd",74
"frei2015",75
"arwillnordbladhnd",76
"artelius2005",77
"artelius2013",78
"pedersen2006",79
"wickholm2006",80
"harris2017",81
"tummuscheitnd",82
"fahlander2018",23
"pricend",45
"osullivan2015",83
"raffield2016",84
"price2019",85
"glorstad2015",86
"arwillnordbladh2012",87
"arwillnordbladh2013",87
"ashby2015",88
"baug2019",89
"croix2019",90
"hennius2018",91
"loftsgarden2019",92
"pilo2020",93
"perry2016",94
"thend",95
"sindbaek2018",96
"raja2018",97
"rosvold2019",98
"sindbaek2017",99
"griffiths2019",3
"backdanielsson2016",100
"gardela2007",101
"price2014",102
"barndon2018",103
"pedersenndb",104
"barrett2010",105
"krzewinska2015",106
"naumann2014",107
"montgomery2014",108
"price2014a",109
"raninen2014",110
"sheehannd",111
"sindbaeknd",112
"sindbaek2011",113
"star2017",114
"pilo2018",115
"downham2015",116
"mainland2018",117
"sindbaek2016",118
"bergstol2004",119
"kemmers2011",120
"nielsen2011",121
"baug2017",122
"svendsen2019",123
"beck2018",124
"grupe2013",125
"zachrisson2018",126
"rasmussen2014",127
"jahnsen2016",128
"stene2017",129
"kristjansdottir2015",130
"bill2017",131
"bill2016",132
"fredriksen2014",133
"gullbekk2014",134
"pedersen2015",135
"macphail2013",136
"axelsen2014",137
"williams2014",37
"gardela2015",138
"jagodzinski2014",139
"iversennd",140
"sanmark2013",141
"richards2018",142
"helama2017",143
"eriksen2017",144
"ellingsen2019",145
"price2010",49
"catlin2016",146
"jarman2018",147
"peschel2017",148
"raffield2015",149
"stott2019",150
"ulriksen2018",151
"pedersen2019",152
"NOAUTHOR28",153
"devos2013",154
"wouters2016",155
"dugmore2007",156
"keller2016",157
"tainter2006",158
"carver2015",159
"pluskowskind",160
"runge2018",152
"domeijlundborg2012",161
"tonning2020",162
"schneidhofer2017",163
"barrett2008",105
"vesteinssonnd",164
"schmid2017",165
"beck2017",166
"spangennd",167
"hillerdal2010",168
"dobat2013",169
"christiansen2019",170
"feveile2009",171
"baug2015",172
"martin2020",173
"frei2012",25
"henriksen2017",174
"price2012",175
"furholt2019",176
"frieman2019",177
"milek2012",178
"hedenstiernajonson2017",179
"kastholm2016",180
"toplak2018",181
"toplak2015",182
"gardeland",183
"forest2011",184
"gustin2017",185
"pedersen2017",186
"christensen2018",187
"heenpettersen2014",188
"ijssennagger2015",189
"kershaw2017",190
"raffield2014",191
"rogers2020",192
"svendsen2016",193
"skre2017",194
"williams2015",195
"hadley2018",196
"hadley2016",197
"mcleod2011",198
"williams2017",199
"buckberry2014",200
"leonard2011",201
"price2020",202
"hrnjic2018",203
"harrison2015",204
"kelly2015",205
"lund2006",206
"NOAUTHOR18",57
"eriksen2016",133
"hedeager2010",207
"kalmring2018",208
"draganits2014",209
"linderholm2008",210
"price2011",211
"kalmring2017",212
"kalmring2012",213
"krzewinska2018",214
"helmbrecht2012",215
"oehrl2019",47
"sindbaek2014",216
"jessen2014",217
"holst2014",218
"holst2013",217
"tveiten2017",219
"bonde2016",220
"glorstad2014",221
"roslund2005",222
"baastrup2014",223
"gotfredsen2013",224
"henriksen2014",225
"borake2018",226
"kershaw2016",227
"vesteinsson2016",228
"knudson2012",229
"hardhnd",230
"poulsen2011",231
"bill2012",232
"gustavsson2015",233
"androshchuk2010",234
"graslundnd",235
"lindholm2016",236
"ljungkvist2018",235
"ljungkvist2015",237
"chenery2014",238
"lucas2007",239
"ijssennagger2013",240
"becket2013",241
"cannellnd",242
"macphail2016",243
"magi2015",244
"gotfredsen2014",245
"milek2013",246
"burstrom2014",247
"ingvardson2012",248
"abrams2012",249
"pedersennd",250
"roesdahlnd",251
"pedersennda",137
"perry2019",189
"skre2011b",55
"frei2011",252
"becker2012",253
"olend",254
"rosengren2010",255
"NOAUTHOR33",256
"leslie2015",257
"reiter2019",258
"pricenda",259
"imer2014",260
"tummuscheit2014",261
"feveile2017",262
"goodchild2017",187
"roslund2015",263
"roslund2017",264
"roslund2013",104
"sanmarkndb",265
"sindbaek2007",266
"skre2015",267
"knappett2025",268
"sindbaeknda",216
"skrend",269
"skre2011a",270
"smith2013",271
"oye2014",272
"fallgren2008",273
"rundkvist2014",274
"christensen2013",275
"ahfeldt2015",276
"steinforth2015",277
"sutherland2015",278
"halstadmcguire2010",279
"kershaw2009",280
"vesteinsson2012",281
"holst2010",282
"fischer2011",283
"lemm2014",284
"brewer2018",285
"neiss2016",286
"pollard2012",238
"myrberg2007",287
"kershaw2018",288
"rundkvist2010",289
"furholt2018",290
"oye2016",291
"storli2010c",292
"price2016",202
"gullbekk2011",293
"svensson2018",294
"andren2000",295
"staeckernd",296
"rohdesloth2012",297
"mulk2007",298
"naum2004",299
"solli2011",300
"zachrisson2004a",301
"trinks2014",302
"kovalenko2013",303
"gustafsson2011",304
"ibsen2010",305
"buntgen2016",306
"zori2013",307
"bitzthorsen2018",308
"ravn2012a",309
"myrberg2008",310
"feveile2012",311
"benderjorgensen2009",312
"boyd2013",313
"sutherland2009",314
"fontaine2017",315
"sanmarknd",316
"arwillnordbladh2007",317
"magi2011",318
"richards2012",319
"majchczack2018",320
"naum2007",299
"halewood2001",321
"nosov2018",322
"wicker2012",323
"kitzlerahfeldt2013",323
"gardela2013",180
"svensson2009",324
"sanmarknda",325
"skorokhod2020",326
"pluskowski2010",327
"kitzlerahfeld2015a",328
"aannestad2015",6
"ahola2014",1
"ambrosiani2013",7
"andersson2004",20
"andersson2016",1
"andersson2008",27
"andren2002",32
"andren2004",19
"androshchuk2013",52
"androshchuk2014",54
"androshchuk2012",329
"androshchuk2016",1
"arents2010",66
"armbruster2010",17
"artelius2004",29
"artelius2007",23
"arwillnordbladh1998",45
"arwillnordbladh2008",29
"ashby2014",37
"s2019",1
"backdanielsson2007",12
"barndon2005",12
"ed2012",117
"barth1969",120
"e2014",330
"bergstol2008",129
"beroniusjorpeland2018",1
"bhabha1994",331
"bill2020",1
"bjerg2013",332
"blaszczyk2017",1
"d2016",1
"bogucki2012",138
"borake2019",1
"brather2013",1
"brink2011",141
"callmer2017",1
"cannell2016",145
"clarke2017",333
"croix2012",152
"croix2016",334
"croix2020",1
"crumlinpedersen2010",152
"diamond2005",70
"dobat2014",335
"domeijlundborg2004",161
"draganits2015",336
"englert2015",337
"eriksen2019",1
"eriksen1994",119
"eriksson2018",1
"forster2009",122
"frog2014",338
"gardela2008",62
"gardela2012",183
"gerds2015",339
"gjerpe2008",340
"gjerpe2017",1
"gossler2018",1
"grahamcampbell2013",1
"grahamcampbell2011",3
"graslund2007",21
"graslund2018",341
"griffiths2003",3
"gruszczynski2018",1
"hadley2013",198
"hall2014",342
"hallansstenholm2012",23
"hansen2017",1
"hansson2018",1
"hardh2010",170
"hardh2016",203
"harrison2014",81
"hedjakobsson2003",103
"hedeager2003",161
"hedeager2004",103
"hedeager2011",41
"hedenstiernajonson2006",60
"hedenstiernajonson2012",213
"helmbrecht2011",87
"hillerdal2009",1
"n2017",343
"hodges2012",99
"holmquist2013",1
"iversen2013",140
"iversen2015",176
"jackson2019",1
"jankowiak2018",1
"janowski2015",1
"jennbert2015",1
"jensen2010",62
"jesch2015",24
"jones1997",221
"jorgensen2009",152
"jorgensen2010",226
"kastholmhansen2015",1
"kershaw2013",196
"kershaw2019",1
"kirpichnikov2018",1
"kleingartner2013",344
"lia2002",232
"ljungkvist2006",235
"ljungkvist2011",237
"loe2014",59
"lund2009",5
"madsen2010",1
"magi2018",1
"magi2019",1
"mehler2015",1
"melheim2016",345
"merkel2016",203
"mikhaylov2016",1
"moen2011",62
"moen2019",6
"moesgaard2015",346
"mozdzioch2013",1
"myhre2015",162
"myrberg2009",57
"naum2008",138
"nordahl2018",1
"nordeide2016",1
"norstein2020",1
"opedal2010",347
"oye2013",348
"paterson2014",81
"pearson2018",1
"pedersen2004",23
"pedersen2009",17
"pedersen2014",6
"pedersen2016",186
"pilo2005",133
"price2000",45
"price2002",151
"price2001",168
"price2008",103
"raffield2017",349
"ravn2012",1
"rebkowski2019",1
"roesdahl2014",187
"roslund2007",55
"rundberget2017",1
"rundkvist2015",212
"russel2014",197
"said1978",121
"sanmark2017",21
"schietzel2014",59
"schultze2008",68
"semple2013",1
"sharples2020",1
"sindbaek2013",88
"skre2008",134
"skre2011",267
"soderberg2005",152
"solli2002",41
"spangen2006",1
"staecker2004",30
"stanislawski2013",138
"stanislawski2014",1
"stidsing2014",170
"svanberg2003",151
"thate2007",133
"toplak2016",1
"tummuscheit2011",261
"turner2006",1
"ulriksen2019",1
"vedeler2014",1
"vesteinsson2014",350
"vonholstein2016",1
"wallace2016",351
"wickham2005",282
"williams2020",352
"wilson2018",1
"zachrisson2004",19
"zachrisson2011",237
"zori2014",1
"strand2001",1
"andren2014",353
"birkett2020",1
"brorsson2010",1
"cooijmans2020",1
"christiansen2014",170
"dobat2010",284
"gardela2016",354
"gjerde2009",355
"glorstad2010",12
"graslund2010",37
"grundvad2017",1
"gustafsson2013",170
"laroche1997",1
"lemm2013",187
"lynnerup2014",356
"mcanany2010",1
"morawiec2009",138
"nordeide2011",37
"olsson2004",213
"price2015",249
"ratican2020",1
"roesdahl2009",1
"rundkvist2011",37
"rostad2016",89
"sheehan2013",4
"sindbaek2009",170
"steinforth2018",1
"sveinbjarnardottir2016",165
"ulriksen2011",180
"williams2010",81
"zachrisson2014",122
"ambrosiani2001",215
"graslund1984",357
"hraundal2013",7
"ilisch1990",288
"jansson1986",185
"jansson1987",20
"jansson1989",7
"wikander1978",7
"aannestad2016",2
"andren2011",181
"baastrup2012",2
"baastrup2010",2
"bagge1991",2
"bakka1963",2
"bakka1961",2
"bakka1971",358
"blackburn2002",197
"blindheim1973",206
"blindheim1999",55
"blindheim1995",12
"boe1940",204
"callmer1992",49
"callmer2008",216
"cramp1997",2
"downham2008",359
"dumville2008",3
"ekengren2009",2
"gaut2001",188
"gaut2011",137
"geber1991",2
"gosden1999",30
"grahamcampbell2000",113
"gustin2004",55
"hahn2013",2
"hedeager2002",32
"hedeager1992",119
"helms1993",34
"heyerdahllarsen1981",2
"hines1984",89
"hodder1982",185
"hodder1986",45
"hagg1974",2
"jansson1984",284
"vidar2010",2
"kopytoff2010",2
"krag1994",183
"kristiansen2005",39
"maran2012",2
"marstrander1963",2
"mauss1950",2
"mikkelsen2002",39
"myhre1992",119
"croinin1989",2
"pedersen2008",270
"peets2012",149
"petersen1940",188
"raven2005",105
"rogers2006",280
"simonsen1981",360
"skaare1963",2
"skaare1976",194
"solli1995",2
"thomas1991",2
"waller1982",2
"wamers1985",3
"wamers2011",89
"williams2008",199
"wilson1984",2
"wilson2006",250
"amundsen2001",119
"amundsen2011",361
"amundsen2015",362
"amundsen2007",294
"apel2001",363
"apel2005",364
"aronsson1991",365
"askeladden2015",366
"bakka1973",367
"bakka1976",368
"barth1976",369
"barth1996",129
"baudou1987",370
"bergman2016",371
"bergsland1992",372
"bergstol1997",129
"bergstol2009",373
"bjorn1934",374
"boaz1997",375
"bolstad1980",376
"braseth2014",377
"brendalsmo2003",378
"brogger1942",379
"bull2002",380
"byggstoyl2012",381
"damm2010",382
"fjellheim1999",383
"fjellheim2012",11
"forsberg2005",11
"fossum2006",11
"fredriksen1983",11
"fuglesang1980",296
"fuglestvedt2006",11
"gjerde2016",11
"gjessing1945",11
"grandell1986",11
"grimbe2013",11
"gustafson1988",11
"gustavsen2014",11
"hagen1946",11
"hagstrom2010",11
"hallgren2008",11
"hansen2004",167
"hansen2014",11
"hedman2003",11
"helstad2001",11
"hildre2012",11
"hole2013",11
"holm1991",11
"holm2016",11
"holseng2004",11
"hougen1947",58
"indreko1956",11
"jenkins2008",11
"johansen1981",11
"kleppe1977",11
"lannerbro1976",11
"marstrander1977",11
"mathiesen2005",11
"melheim2015",11
"mikkelsen1994",297
"mikkelsen1975",11
"mjaerum2012",184
"mulk1994",11
"myhre1962",11
"norell1987",11
"nou2007",11
"nyland2016",11
"odner1983",119
"odner2000",11
"ojala2009",11
"olsen1985",11
"olsen1991",11
"pareli1991",11
"prescott2009",11
"schanche1985",11
"scheen1979",11
"serning1966",11
"sjurseike1994",11
"skandfer1996",11
"skjolsvold1980",129
"skjolsvold1981",11
"skjolsvold1984",11
"smith2006",11
"soborg1988",11
"solberg1986",11
"sommerseth2011",11
"spangberg2014",11
"spangen2010",11
"stene2010",11
"stenvik1988",11
"svensson2006",11
"swensen2017",11
"trigger2006",11
"vorren1965",11
"wegraeus1971",11
"zachrisson1997",45
"zachrisson2015",11
"abrams2004",227
"phil2010",249
"fanning1994",188
"sheehan1998",105
"sheehan2009",249
"omeadhra1979",384
"blackburn1981",249
"glorstad1987",249
"grahamcampbell1984",188
"jensen1968",249
"davidson1962",34
"grinsell1961",51
"bjorn1940",51
"kovalev2004",263
"arbman1940",151
"arne1914",7
"bearman2014",7
"anonymous2012",249
"ljung2010",174
"lang2001",200
"cohen2004",249
"jesch2002",198
"whaley2004",249
"tweddle1995",249
"coatsworth2008",249
"grahamcampbell1980",204
"wamers2009",3
"grahamcampbell2007",111
"brunning2013",144
"sonderso2005",234
"stenalt1960",234
"kolindsund1936",234
"luhm1903",234
"androshchuk2001",234
"androshchuk2002",191
"androshchuk2003",234
"androshchuk2009",234
"androshchuk2004",234
"appadurai1937",234
"arbman1937",304
"arbman1966",234
"arrhenius1985",86
"bazelmans1999",160
"bergman1976",234
"behmer1939",234
"behrend1936",234
"brondsted1936",250
"chase1979",234
"colmo1953",234
"cross1914",234
"falk1914",234
"gameson2001",234
"gansum1991",234
"geibig1992",234
"grahamcampbell1968",234
"gurevich1968",18
"habbe2005",30
"hakonarherdibreids1991",234
"harke2000",128
"jacobsen1942",100
"nasman1991",234
"jorgensen1966",152
"lavrsen1960",234
"maixner1990",385
"mauss1980",234
"menghin1980",234
"mullerwille1978",386
"mullerwille1984",32
"mullerwille1980",234
"north1980",234
"nasman1989",234
"ostergren1976",120
"olsson1975",234
"owencrocker1966",234
"ornes1966",220
"paulsen1953",286
"pedersen1995",234
"pedersen1997",151
"pedersen2002",387
"peirce1919",32
"petersen1919",32
"rydbeck1932",234
"schulzedorrlamm1987",234
"handelderwikingerzeitzwischennordundwesteuropaaufgrundarchaologischerzeugnisse1987",234
"klaesoe2005",234
"smidt1991",234
"stocklund1985",234
"strid1961",234
"stromberg1946",234
"svanberg1995",234
"thunmarknylen1995",234
"thunmarknylen2001",234
"bergman2005",234
"thalinbergman2000",234
"theuws2000",234
"turvillepetre1960",234
"wamers1930",220
"whitelock1955",234
"willemsen2004",189
"wilson1955",388
"wrenn1958",234
"zachrisson1984",206
"zachrisson2012",11
"ammann2007",389
"ammann2003",390
"anchukaitis2014",391
"anchukaitis2012",392
"anchukaitis2010",393
"anchukaitis2013",394
"anchukaitis2006",395
"andreuhayles2011",396
"andronova2000",397
"autin2015",398
"biondi1999",399
"bowman1997",400
"bradley2001",401
"breitenmoser2012",402
"briffa1993",403
"briffa1994",404
"briffa1995",405
"briffa2000",406
"briffa1996",407
"briffa1998",408
"briffa2011",409
"briffa2013",410
"briffa2004",411
"briffa2002",412
"brohan2012",413
"buckley2010",10
"buntgen2006",414
"buntgen2013",415
"buntgen2011",306
"buntgen2014",306
"campbell2007",243
"coledai2013",416
"cook1990",417
"cook1987",418
"cook2010",419
"cook1994",420
"cook1995",421
"cook2013",306
"cook1999",422
"cowtan2014",423
"crowley2000",424
"crowley2008",425
"darrigo2011",426
"darrigo2003",427
"darrigo1992",428
"darrigo2004",429
"darrigo2013",430
"darrigo2008",431
"darrigo2015",432
"darrigo2009",433
"darrigo2006",434
"davi2003",435
"delaygue2011",436
"doradolinan2012",437
"edwards2007",438
"emilegeay2013",439
"esper2013",440
"esper2002",441
