"round","from","to"
1,"lund2021","anchukaitis2017"
2,"lund2021","solli2011"
3,"lund2021","hartman2017"
4,"lund2021","oehrl2017"
5,"lund2021","schneidhofer2017"
6,"lund2021","stott2019"
7,"lund2021","knudson2012"
8,"lund2021","stene2017"
9,"lund2021","croix2019"
10,"lund2021","jackson2018"
11,"lund2021","catlin2016"
12,"lund2021","andren2000"
13,"lund2021","raffield2019"
14,"lund2021","star2017"
15,"lund2021","milek2012"
16,"lund2021","reiter2019"
17,"lund2021","keller2016"
18,"lund2021","dugmore2007"
19,"lund2021","ahfeldt2015"
20,"lund2021","staecker2004"
21,"lund2021","rogers2020"
22,"lund2021","burstrom2014"
23,"lund2021","helama2017"
24,"lund2021","rundkvist2010"
25,"lund2021","baastrup2014"
26,"lund2021","amundsen2017"
27,"lund2021","sanmark2013"
28,"lund2021","hennius2018"
29,"anchukaitis2017","jones1997"
30,"lund2021","krzewinska2018"
31,"lund2021","roslund2017"
32,"lund2021","price2018"
33,"lund2021","raninen2014"
34,"lund2021","frei2015"
35,"lund2021","magi2011"
36,"lund2021","macphail2013"
37,"lund2021","kemmers2011"
38,"lund2021","sindbaek2016"
39,"lund2021","toplak2015"
40,"lund2021","oye2016"
41,"lund2021","beck2018"
42,"lund2021","beck2017"
43,"lund2021","perry2016"
44,"lund2021","arneborg2012"
45,"lund2021","dugmore2012"
46,"lund2021","vesteinsson2016"
47,"lund2021","vesteinsson2014"
48,"lund2021","schmid2017"
49,"lund2021","vesteinsson2012"
50,"lund2021","solli2018"
51,"lund2021","kovalenko2013"
52,"lund2021","raffield2018"
53,"lund2021","pilo2020"
54,"lund2021","tainter2006"
55,"lund2021","pedersen2015"
56,"lund2021","zoega2017"
57,"lund2021","nielsen2011"
58,"lund2021","christiansen2019"
59,"lund2021","mulk2007"
60,"lund2021","magnell2010"
61,"lund2021","mainland2018"
62,"lund2021","gotfredsen2014"
63,"lund2021","hilberg2014"
64,"star2017","barrett2008"
65,"lund2021","croix2015"
66,"keller2016","price2002"
67,"lund2021","zachrisson2014a"
68,"lund2021","gardela2018"
69,"lund2021","linderholm2008"
70,"lund2021","androshchuk2010"
71,"lund2021","jahnsen2016"
72,"lund2021","gustin2017"
73,"ashby2015","perry2016"
74,"lund2021","hadley2016"
75,"lund2021","trinks2014"
76,"lund2021","dobat2006"
77,"lund2021","milek2013"
78,"lund2021","devos2013"
79,"lund2021","sutherland2009"
80,"lund2021","skre2017"
81,"milek2012","price2002"
82,"lund2021","sutherland2015"
83,"lund2021","svendsen2019"
84,"lund2021","svendsen2016"
85,"lund2021","sindbaek2007"
86,"lund2021","halewood2001"
87,"stene2017","solli2011"
88,"lund2021","tonning2020"
89,"lund2021","fontaine2017"
90,"tainter2006","hodges1983"
91,"lund2021","zori2013"
92,"amundsen2017","price2002"
93,"lund2021","carver2015"
94,"lund2021","fabech2013"
95,"lund2021","raffield2014"
96,"lund2021","myrberg2008"
97,"croix2019","milek2012"
98,"lund2021","zachrisson2017"
99,"lund2021","skre2019"
100,"lund2021","fischer2011"
101,"lund2021","svensson2018"
102,"knudson2012","price2002"
103,"lund2021","montgomery2014"
104,"lund2021","loftsgarden2019"
105,"lund2021","baug2019"
106,"price2018","reiter2019"
107,"price2011","reiter2019"
108,"reiter2019","price2015"
109,"lund2021","ashby2015"
110,"lund2021","sindbaek2011"
111,"lund2021","rosvold2019"
112,"anchukaitis2017","harrison2015"
113,"lund2021","barrett2008"
114,"lund2021","barrett2010"
115,"lund2021","raffield2016"
116,"price2018","roslund2017"
117,"lund2021","lucas2007"
118,"lund2021","chenery2014"
119,"lund2021","peschel2017"
120,"lund2021","price2019"
121,"anchukaitis2017","buntgen2016"
122,"anchukaitis2017","buckley2010"
123,"anchukaitis2017","hughes1994"
124,"anchukaitis2017","harris2013"
125,"frei2015","reiter2019"
126,"lund2021","lindholm2016"
127,"lund2021","krzewinska2015"
128,"lund2021","naumann2014"
129,"dugmore2012","barrett2008"
130,"hilberg2014","star2017"
131,"hennius2018","star2017"
132,"star2017","bately2007"
133,"star2017","barrett2004"
134,"lund2021","becker2012"
135,"lund2021","grupe2013"
136,"lund2021","leslie2015"
137,"lund2021","price2006"
138,"lund2021","henriksen2014"
139,"lund2021","goodchild2017"
140,"lund2021","runge2018"
141,"lund2021","feveile2017"
142,"becker2012","price2002"
143,"ashby2015","becker2012"
144,"jackson2018","jensen2004"
145,"lund2021","hedeager2010"
146,"hartman2017","harrison2014"
147,"raffield2019","fontaine2017"
148,"fontaine2017","brink2008"
149,"svendsen2016","sindbaek2007"
150,"svendsen2019","sindbaek2007"
151,"baug2019","svendsen2019"
152,"svendsen2019","sindbaek2005"
153,"lund2021","jagodzinski2014"
154,"solli2011","latour2005"
155,"anchukaitis2017","campbell2007"
156,"aannestad2018","wilson2006"
157,"croix2019","pedersen2015"
158,"carver2015","kennedy2011"
159,"anchukaitis2017","jones2012"
160,"raffield2018","jones2009"
161,"anchukaitis2017","lee2008"
162,"raninen2014","wilson2007"
163,"borake2018","mann2012"
164,"ljungkvist2015","sundqvist2014"
165,"anchukaitis2017","wilson2010"
166,"krzewinska2018","li2010"
167,"anchukaitis2017","mann2008"
168,"pedersen2015","wagner2001"
169,"helama2017","linderholm2008"
170,"helama2017","jones1997"
171,"lund2021","lynnerup2014"
172,"jackson2018","jesch2015"
173,"jackson2018","gardela2012"
174,"perry2016","youngblut2008"
175,"anchukaitis2017","mann2009"
176,"stott2019","roesdahl2014"
177,"jackson2018","mckay2014"
178,"jackson2018","pagesk2013"
179,"jackson2018","lavigne2013"
180,"catlin2016","lewis2015"
181,"anchukaitis2017","sigl2015"
182,"reiter2019","wilson2007"
183,"helama2017","bradley2003"
184,"pilo2018","helama2017"
185,"helama2017","bradley1993"
186,"stott2019","schneider2015"
187,"stott2019","zhang2016"
188,"helama2017","buntgen2016"
189,"helama2017","ljung2010"
190,"helama2017","olsen2012"
191,"gardela2018","wilson2009"
192,"williams2015","bradley1992a"
193,"henriksen2017","ljungqvist2010"
194,"domeijlundborg2012","wilson2010"
195,"chenery2014","mann2008"
196,"helama2017","miller2012"
197,"hartman2017","jones2001"
198,"hartman2017","lamb1965"
199,"dugmore2012","mann2009"
200,"schmid2017","sigl2015"
201,"lund2021","kristjansdottir2015"
202,"lund2021","wouters2016"
203,"dugmore2007","barrett2008"
204,"lund2021","ibsen2010"
205,"halewood2001","appadurai1986a"
206,"lund2021","kelly2015"
207,"lund2021","buckberry2014"
208,"lund2021","richards2018"
209,"price2019","almgren1967"
210,"raffield2019","ashby2015"
211,"lund2021","neiss2016"
212,"catlin2016","harrison2014"
213,"catlin2016","smith1995"
214,"catlin2016","ingold1993"
215,"barrett2010","dugmore2007"
216,"lund2021","eriksen2013"
217,"croix2015","ibsen2010"
218,"lund2021","majchczack2018"
219,"bill2019","schneidhofer2017"
220,"schneidhofer2017","myhre1992"
221,"tonning2020","schneidhofer2017"
222,"schneidhofer2017","draganits2015"
223,"schneidhofer2017","nicolaysennda"
224,"schneidhofer2017","courty1989"
225,"macphail2013","schneidhofer2017"
226,"moen2020","gansum1995"
227,"schneidhofer2017","sorensen2007"
228,"schneidhofer2017","goldberg2006"
229,"schneidhofer2017","trinks2010"
230,"schneidhofer2017","french2003"
231,"solli2011","wilkinson2003"
232,"trinks2014","neubauer2004"
233,"stott2019","olesen2004"
234,"stott2019","doneus2008"
235,"stott2019","jorgensen2008"
