Timestamp,ID,cite_key,Authors' Genders [Author 1],Authors' Genders [Author 2],Authors' Genders [Author 3],Authors' Genders [Author 4],Authors' Genders [Author 5],Authors' Genders [Author 6],Authors' Genders [Author 7],Authors' Genders [Author 8],Authors' Genders [Author 9],Authors' Genders [Author 10],Authors' Genders [Author 11],Authors' Genders [Author 12],Authors' Genders [Author 13],Authors' Genders [Author 14],Authors' Genders [Author 15],Authors' Genders [Author 16],Authors' Genders [Author 17],Topics [Trade],Topics [Diaspora],Topics [Gender],Topics [Identity],Topics [Violence],Topics [Ethnicity],Topics [Enslaved],Topics [Power],Topics [Worldviews],Topics [Personhood],Topics [Environment],Topics [The Viking ship],Topics [Rituals],Topics [Memory],Topics [Craft],Topics [Outfield resources],Topics [Hunting],Sources of Evidence [Graves and monuments],Sources of Evidence [Hoards],Sources of Evidence [Settlements],Sources of Evidence [Emporia],"Sources of Evidence [Other structures, sites of production or pit systems]",Sources of Evidence [Portable artefacts],Sources of Evidence [Human biological remains],Sources of Evidence [Non-anthropogenic materials],Sources of Evidence [Stray finds],Methods [aDNA],Methods [Biological analyses],Methods [Palaeoenvironment reconstruction],Methods [Stable isotope analysis],Methods [Absolute dating],Methods [Geophysical analyses],Methods [Geochemical analyses],Methods [Spatial analysis],Methods [Artefact analysis],Methods [Literary analysis and epigraphy],Methods [Quantitative or statistical methods],Methods [Discourse analysis],Region,Comments,Topics [Heritage],Sources of Evidence [Written sources],Methods [Relative dating],Sources of Evidence [Ethnographic sources]
2026-02-28 11:32:55,Lia2004,lia2004,Man,,,,,,,,,,,,,,,,,,,Secondary,Secondary,Secondary,,Secondary,Secondary,Primary,Primary,Primary,Secondary,Primary,,,,,Primary,,,Secondary,,Primary,Primary,Secondary,,,Primary,,,,,,Primary,Primary,,Secondary,Secondary,"Kaupang, Oseberg",,,,,Secondary
2026-02-28 11:42:33,GräslundPrice2012,graslund2012,Man,Man,,,,,,,,,,,,,,,,,Primary,,,,,,Primary,Primary,,Primary,,,Primary,,,,Secondary,,Primary,,,,,Primary,,,,Primary,,Primary,,,,,Primary,Primary,Secondary,"Scandinavia, the North",,,Primary,,Secondary
2026-02-28 09:25:54,ArwillNordbladh2008,arwill-nordbladh2008,Woman,,,,,,,,,,,,,,,,,,,Primary,Primary,,,,,Primary,Primary,Primary,,Primary,Primary,,,,Primary,,,,,Primary,Primary,,,Primary,,,,,,,Primary,Primary,Primary,,,"Östergötland, Rök, Aska",,,,Secondary,
2026-02-28 10:28:23,Andrén2002,andren2002,Man,,,,,,,,,,,,,,,,,,,,Secondary,,,,Primary,Primary,,Primary,,Primary,Primary,,,,Primary,Secondary,Primary,,Primary,Secondary,,,,,,,,,,,Primary,,Primary,,,Norden,,,Primary,,
2026-06-29 07:39:09,Hedeager2003,hedeager2003,Woman,,,,,,,,,,,,,,,,,,,,,,,,Primary,Primary,,Primary,,Primary,,,,,Secondary,Primary,Secondary,,,Primary,,Primary,,,,Secondary,,,,,Primary,Secondary,Secondary,Primary,Secondary,South Scandinavia,,,Secondary,Primary,
2026-06-29 08:03:58,Artelius2004,artelius2004,Man,,,,,,,,,,,,,,,,,,,,,,,,,Primary,,Primary,,Primary,Primary,,,,Primary,,Secondary,,,,,,,,,,,Secondary,,,Primary,,Secondary,Secondary,,"Västergötland, West Sweden, Scandinavia",,,Secondary,Secondary,
2026-06-29 08:58:59,Barndon2005,barndon2005,Woman,,,,,,,,,,,,,,,,,,,,Primary,,,,,Primary,,Primary,,Secondary,,Primary,Secondary,,,,,,Primary,Secondary,,Primary,,,,,,,,,Primary,,Primary,,,Scandinavia,,,Primary,,Primary
2026-06-30 07:17:24,Hillerdal2009,hillerdal2009,Woman,,,,,,,,,,,,,,,,,Secondary,Secondary,Primary,Primary,Secondary,Primary,,,Secondary,,,,,,Secondary,,,Primary,,Secondary,,,Primary,,,,,,,,,,,Secondary,Secondary,Secondary,,Primary,Russia,,,Secondary,,
2026-06-30 08:14:44,PriceGräslund2015,price2015,Man,Man,,,,,,,,,,,,,,,,,Secondary,,,,,,,Primary,,Primary,,,Primary,,,,Secondary,Secondary,Secondary,,,Secondary,,Primary,,,,Primary,,Primary,,,Secondary,Secondary,Primary,Primary,,Scandinavia,,,Primary,,
2026-02-27 07:27:35,4410,dobat2006,Man,,,,,,,,,,,,,,,,,,,,,Secondary,,,Primary,Primary,Primary,Primary,Secondary,Primary,,Primary,,,Primary,,Secondary,,,Primary,,Primary,,,,,,,,,,Primary,Secondary,,,"Sutton Hoo, Europe",,,Secondary,,Secondary
