name,betweenness,closeness,pagerank,hub,authority,in_degree,title,year,generation,entry_type,cluster_kmeans.x,component_weak,component_strong,community_leiden,cluster_kmeans.y
Birka II: 1. Untersuchungen und Studien,0,NA,2.2762090500174994e-5,1.8558070402198402e-4,0,0,NA,NA,NA,NA,6,1,22811,1,6
"Maal og Vcegt, Nordisk kultur 3o",0,NA,2.2762090500174994e-5,1.0892556604523256e-4,0,0,NA,NA,NA,NA,6,1,22775,2,6
Traditiones Corbeienses,0,NA,2.2762090500174994e-5,0.9424171857515238,0,0,NA,NA,NA,NA,3,1,22774,4,3
Viking Age in Finland? Naming a Period as a Historiographical Problem,0,NA,2.2762090500174994e-5,3.2939205742727364e-5,0,0,NA,NA,NA,NA,6,1,18693,5,6
Omforming og bruk av importerte gjenstander i vikingtid (Transformations. The use and reuse of imported objects in Viking Age eastern Norway),0,NA,2.2762090500174994e-5,3.9680713096475735e-5,0,0,NA,NA,NA,NA,6,1,18681,9,6
Omforming og bruk av importerte gjenstander i vikingtid (unpubl phd thesis,0,NA,2.2762090500174994e-5,3.863758574005581e-5,0,0,NA,NA,NA,NA,6,1,18512,10,6
Omforming og bruk av importe gjenstander i vikingetid,0,NA,2.2762090500174994e-5,1.0466197134494528e-4,0,0,NA,NA,NA,NA,6,1,18511,7,6
Gjenstander over grenser -potensialet i studiet av importerte og ikke-lokale gjenstnader i vikingtid,0,NA,2.2762090500174994e-5,0.001481809340663947,0,0,NA,NA,NA,NA,6,1,18510,14,6
Kvinner og båtbegravelser i vikingtiden,0,NA,2.2762090500174994e-5,5.4125763057508206e-5,0,0,NA,NA,NA,NA,6,1,18509,3,6
"Charisma, violence and weapons: The broken swords of the Vikings",0,NA,2.6518940388553387e-5,4.369604475840493e-4,5.659669005233694e-7,1,NA,NA,NA,NA,6,1,18305,5,6
aarhusnd,0,NA,2.2762090500174994e-5,7.185722363718772e-5,0,0,,,F2,misc,6,1,17898,16,6
aarhusnda,0,NA,2.2762090500174994e-5,0.0013613583660357328,0,0,,,F2,misc,6,1,17897,17,6
Danmarks forhistoriske dyreverden: fra istid til vikingetid,0,NA,2.2762090500174994e-5,7.104045186070627e-6,0,0,NA,NA,NA,NA,6,1,15382,16,6
aarissorensen1998,0,NA,2.2762090500174994e-5,2.5557151199670486e-9,0,0,,1998,F2,article,6,1,15327,19,6
Fra istid til nutid : Late and Post Glacial Mammals in Denmark,0,NA,2.2762090500174994e-5,7.104045186077798e-6,0,0,NA,NA,NA,NA,6,1,15326,16,6
"Kystsamenes besetting I rikspolitisk sammenheng. OTTAR, Tidsskrift for nordnorsk natur og kultur",0,NA,2.2762090500174994e-5,9.35622636146302e-6,0,0,NA,NA,NA,NA,6,1,15325,20,6
Bronsnycklar och djurornamentik vid övergången från vendeltid til vikingatid,0,NA,2.2762090500174994e-5,0.0025275457385834804,0,0,NA,NA,NA,NA,6,1,15324,22,6
Detektorfund -mangler og muligheder. et metodisk studie af vikingetidens detektorfund på bornholm,0,NA,2.2762090500174994e-5,1.494184003351312e-4,0,0,NA,NA,NA,NA,6,1,15323,23,6
"Detektorﬔnd -mangler og muligheder, et metodisk studie af vikingetidens detektorﬔnd på bornholm",0,NA,2.2762090500174994e-5,0,0,0,NA,NA,NA,NA,6,1,15283,25,6
Velstandens Ø. Skalk,0,NA,2.2762090500174994e-5,0,0,0,NA,NA,NA,NA,6,1,15282,25,6
aarsleff2009,0,NA,2.2762090500174994e-5,0,0,0,,2009,F2,misc,6,1,15281,25,6
Viking Age Finds,0,NA,2.2762090500174994e-5,0,0,0,NA,NA,NA,NA,6,1,15280,25,6
"Coins, Money and Exchange in the Roman World. a Cultural-Economic Perspective",0,NA,2.2762090500174994e-5,1.5982660036143086e-6,0,0,NA,NA,NA,NA,6,1,15279,15,6
Tribal emission or imperial coinage? Ideas about the production and circulation of the so-called AVAVCIA coinages in the Rhineland,0,NA,2.2762090500174994e-5,1.5982660036149534e-6,0,0,NA,NA,NA,NA,6,1,15278,15,6
"Esben Aarsleff, Decector finds ftom the Viking Age on Bornholm ~ a new perspective",0,NA,2.2762090500174994e-5,3.1194413499162213e-6,0,0,NA,NA,NA,NA,6,1,15050,26,6
abbnd,0,NA,2.2762090500174994e-5,1.955905215770696e-5,0,0,,,F2,misc,6,1,15049,27,6
"Pottery from a watching brief at Kirkgate Co-op (unpubl rep, Trent and Peak Archaeological Unit",0,NA,2.2762090500174994e-5,1.0481145126533319e-4,0,0,NA,NA,NA,NA,6,1,15048,28,6
"Alfred the Great: War, Kingship, and Culture in Anglo-Saxon England",0,NA,2.2762090500174994e-5,1.1906743337057016e-4,0,0,NA,NA,NA,NA,6,1,15047,29,6
Lordship and Military Obligation in Anglo-Saxon England,0,NA,2.2762090500174994e-5,0.0013584809361698526,0,0,NA,NA,NA,NA,6,1,15046,30,6
Alfred the Great: Papers From the Eleventh-Centenary Conferences,0,NA,2.2762090500174994e-5,0.002574144930113684,0,0,NA,NA,NA,NA,6,1,15045,29,6
Stil III och Jcllingestil. Fonivännen,0,NA,2.2762090500174994e-5,4.952477837810143e-6,0,0,NA,NA,NA,NA,6,1,14931,32,6
Possible Runes on Stones from Sweden,0,NA,2.2762090500174994e-5,4.952477837805956e-6,0,0,NA,NA,NA,NA,6,1,14930,32,6
Kalmar läns förhistoria. Södra Kalmar län I,0,NA,2.2762090500174994e-5,0.002883050571355895,0,0,NA,NA,NA,NA,6,1,14929,22,6
Den Nordiska Folkvandringstidens Kronologi,0,NA,2.2762090500174994e-5,3.989348523560889e-15,0,0,NA,NA,NA,NA,6,1,14899,10,6
"Adamsen 1995. Christian Adamsen, Sravns Fjord { jernalder og vikingetid",0,NA,2.2762090500174994e-5,3.119441349914345e-6,0,0,NA,NA,NA,NA,6,1,14898,26,6
Possible Runes on Snakes from the Viking Age,0,NA,2.2762090500174994e-5,4.962101748250653e-6,0,0,NA,NA,NA,NA,6,1,14761,32,6
