source,target
lund2021,aannestad2015
aannestad2018,aannestad2015
heenpettersen2019,aannestad2015
heenpettersen2018,aannestad2015
lund2016,aannestad2015
moen2020,aannestad2015
lund2021,aannestad2018
lund2021,ahola2014
lund2021,ahfeldt2013
oehrl2019,ahfeldt2013
ahfeldt2015,ahfeldt2013
lund2021,ambrosiani2013
ambrosiani2015,ambrosiani2013
croix2015,ambrosiani2013
price2018,ambrosiani2013
vonholstein2014,ambrosiani2013
warmlander2015,ambrosiani2013
lund2021,ambrosiani2015
lund2021,amundsen2017
amundsen2017,amundsen2017
lund2019,amundsen2017
solli2018,amundsen2017
lund2021,anchukaitis2017
anchukaitis2017,anchukaitis2017
lund2021,andersson2004
fabech2013,andersson2004
dobat2006,andersson2004
gustafssonnd,andersson2004
kalmring2013,andersson2004
larsson2007,andersson2004
price2006,andersson2004
price2018,andersson2004
zachrisson2017,andersson2004
zachrissonnd,andersson2004
lund2021,andersson2016
fahlander2016,andersson2016
NOAUTHOR21,andersson2016
lund2021,andersson2008
strand2011,andersson2008
eriksen2013,andersson2008
fabech2013,andersson2008
NOAUTHOR11,andersson2008
jorgensennd,andersson2008
price2018,andersson2008
zachrissonnd,andersson2008
lund2021,andren2000
andrennd,andren2000
lund2008,andren2000
lund2020,andren2000
lund2005,andren2000
lund2004,andren2000
lundborgnd,andren2000
lund2017,andren2000
raffield2018,andren2000
zoega2017,andren2000
williams2016,andren2000
lund2021,andren2002
andren2013,andren2002
andrennd,andren2002
fabech2013,andren2002
glorstad2012,andren2002
jorgensennd,andren2002
lund2008,andren2002
lund2005,andren2002
larsson2007,andren2002
lund2004,andren2002
lund2015,andren2002
lund2013,andren2002
NOAUTHOR16,andren2002
lund2017,andren2002
lund2010,andren2002
skre2019,andren2002
lund2021,andren2013
jessen2016,andren2013
lund2020,andren2013
lund2016,andren2013
pricendb,andren2013
zoega2017,andren2013
lund2021,andren2004
fabech2013,andren2004
jorgensennd,andren2004
mannering2013,andren2004
larsson2007,andren2004
lund2013,andren2004
oehrl2017,andren2004
magnell2010,andren2004
lund2017,andren2004
lund2016,andren2004
NOAUTHOR25,andren2004
NOAUTHOR39,andren2004
lund2021,androshchuk2010
lund2021,androshchuk2013
gardela2018,androshchuk2013
gustafsson2016,androshchuk2013
raffield2018,androshchuk2013
raffield2019,androshchuk2013
warmlander2015,androshchuk2013
lund2021,androshchuk2014
androshchuk2018,androshchuk2014
billnd,androshchuk2014
bill2019,androshchuk2014
burstrom2015,androshchuk2014
glorstad2017,androshchuk2014
gardela2018,androshchuk2014
odeback2018,androshchuk2014
lund2021,androshchuk2018
edberg2019,androshchuk2018
lund2021,androshchuk2012
raffield2018,androshchuk2012
warmlander2015,androshchuk2012
lund2021,androshchuk2016
aannestad2018,androshchuk2016
lund2021,arents2010
feveile2011,arents2010
NOAUTHOR8,arents2010
hilberg2013,arents2010
hedenstiernajonson2015,arents2010
hilberg2014,arents2010
hilberg2018,arents2010
kalmring2010,arents2010
NOAUTHOR36,arents2010
voncarnapbornheim2014,arents2010
lund2021,armbruster2010
gustafssonnd,armbruster2010
lund2021,arneborg2012
arneborg2012,arneborg2012
dugmore2012,arneborg2012
smith2018,arneborg2012
hartman2017,arneborg2012
jackson2018,arneborg2012
lynnerupnd,arneborg2012
frei2015,arneborg2012
lund2021,artelius2004
arwillnordbladhnd,artelius2004
andrennd,artelius2004
artelius2005,artelius2004
artelius2013,artelius2004
fahlander2016,artelius2004
lund2020,artelius2004
lund2016,artelius2004
pedersen2006,artelius2004
wickholm2006,artelius2004
lund2021,artelius2013
fahlander2016,artelius2013
harris2017,artelius2013
lund2016,artelius2013
williams2016,artelius2013
lund2021,artelius2005
NOAUTHOR8,artelius2005
fahlander2016,artelius2005
gardeland,artelius2005
hennius2018,artelius2005
lund2013,artelius2005
wickholm2006,artelius2005
vesteinsson2016,artelius2005
williams2014,artelius2005
williams2016,artelius2005
lund2021,artelius2007
artelius2013,artelius2007
fahlander2018,artelius2007
fahlander2016,artelius2007
lund2021,arwillnordbladh1998
lund2019,arwillnordbladh1998
pricend,arwillnordbladh1998
osullivan2015,arwillnordbladh1998
raffield2016,arwillnordbladh1998
pricendb,arwillnordbladh1998
price2019,arwillnordbladh1998
raffield2018,arwillnordbladh1998
moen2020,arwillnordbladh1998
lund2021,arwillnordbladh2007
arwillnordbladhnd,arwillnordbladh2007
glorstad2012,arwillnordbladh2007
glorstad2015,arwillnordbladh2007
heenpettersen2018,arwillnordbladh2007
lund2016,arwillnordbladh2007
williams2016,arwillnordbladh2007
lund2021,arwillnordbladh2008
arwillnordbladh2012,arwillnordbladh2008
arwillnordbladhnd,arwillnordbladh2008
andrennd,arwillnordbladh2008
lund2020,arwillnordbladh2008
lund2016,arwillnordbladh2008
lund2021,arwillnordbladh2012
arwillnordbladhnd,arwillnordbladh2012
arwillnordbladh2013,arwillnordbladh2012
lund2019,arwillnordbladh2012
raffield2018,arwillnordbladh2012
lund2021,arwillnordbladh2013
heenpettersen2018,arwillnordbladh2013
lund2016,arwillnordbladh2013
williams2016,arwillnordbladh2013
lund2021,ashby2014
ashby2015,ashby2014
lund2016,ashby2014
williams2016,ashby2014
lund2021,ashby2015
aannestad2018,ashby2015
baug2019,ashby2015
croix2019,ashby2015
glorstad2017,ashby2015
heenpettersen2019,ashby2015
hennius2018,ashby2015
heenpettersen2018,ashby2015
loftsgarden2019,ashby2015
lund2019,ashby2015
raffield2016,ashby2015
pilo2020,ashby2015
perry2016,ashby2015
thend,ashby2015
raffield2019,ashby2015
sindbaek2018,ashby2015
raja2018,ashby2015
rosvold2019,ashby2015
sindbaek2017,ashby2015
williams2016,ashby2015
lund2021,s2019
lund2021,baastrup2014
griffiths2019,baastrup2014
lund2021,backdanielsson2007
arwillnordbladh2012,backdanielsson2007
backdanielsson2016,backdanielsson2007
gardela2007,backdanielsson2007
gardela2018,backdanielsson2007
lund2019,backdanielsson2007
price2014,backdanielsson2007
odeback2018,backdanielsson2007
raffield2016,backdanielsson2007
price2019,backdanielsson2007
raffield2018,backdanielsson2007
raffield2019,backdanielsson2007
williams2016,backdanielsson2007
lund2021,backdanielsson2016
backdanielsson2016,backdanielsson2016
lund2021,barndon2005
barndon2018,barndon2005
lund2019,barndon2005
lund2010,barndon2005
pedersenndb,barndon2005
lund2021,barrett2008
aannestad2018,barrett2008
ashby2015,barrett2008
baug2019,barrett2008
barrett2010,barrett2008
dugmore2012,barrett2008
croix2015,barrett2008
glorstad2012,barrett2008
griffiths2019,barrett2008
heenpettersen2019,barrett2008
krzewinska2015,barrett2008
naumann2014,barrett2008
montgomery2014,barrett2008
raffield2016,barrett2008
NOAUTHOR22,barrett2008
raninen2014,barrett2008
raffield2018,barrett2008
sheehannd,barrett2008
raffield2019,barrett2008
sindbaeknd,barrett2008
sindbaek2011,barrett2008
vonholstein2014,barrett2008
star2017,barrett2008
moen2020,barrett2008
lund2021,barrett2010
ashby2015,barrett2010
baug2019,barrett2010
glorstad2012,barrett2010
heenpettersen2019,barrett2010
pilo2018,barrett2010
montgomery2014,barrett2010
sindbaek2017,barrett2010
frei2015,barrett2010
lund2021,ed2012
downham2015,ed2012
griffiths2019,ed2012
mainland2018,ed2012
sindbaek2016,ed2012
lund2021,barth1969
amundsen2017,barth1969
bergstol2004,barth1969
croix2019,barth1969
kemmers2011,barth1969
nielsen2011,barth1969
lund2021,e2014
croix2015,e2014
lund2021,baug2015
baug2017,baug2015
glorstad2017,baug2015
loftsgarden2019,baug2015
rosvold2019,baug2015
sindbaek2017,baug2015
lund2021,baug2017
rosvold2019,baug2017
lund2021,baug2019
bill2019,baug2019
griffiths2019,baug2019
heenpettersen2019,baug2019
loftsgarden2019,baug2019
rosvold2019,baug2019
skre2019,baug2019
svendsen2019,baug2019
lund2021,beck2017
beck2018,beck2017
lund2021,beck2018
lund2021,becker2012
ashby2015,becker2012
grupe2013,becker2012
zachrisson2018,becker2012
lund2021,becket2013
lund2021,benderjorgensen2009
hennius2018,benderjorgensen2009
lund2021,bergstol2004
amundsen2017,bergstol2004
lund2019,bergstol2004
rasmussen2014,bergstol2004
lund2021,bergstol2008
amundsen2017,bergstol2008
glorstad2012,bergstol2008
loftsgarden2019,bergstol2008
jahnsen2016,bergstol2008
lund2019,bergstol2008
nielsen2011,bergstol2008
solli2018,bergstol2008
stene2017,bergstol2008
lund2021,beroniusjorpeland2018
lund2021,bhabha1994
amundsen2017,bhabha1994
kristjansdottir2015,bhabha1994
lund2019,bhabha1994
nielsen2011,bhabha1994
lund2021,bill2016
bill2019,bill2016
fahlander2018,bill2016
fahlander2016,bill2016
lund2021,bill2017
bill2019,bill2017
lund2021,bill2020
lund2021,bill2012
bill2017,bill2012
billnd,bill2012
bill2019,bill2012
bill2016,bill2012
NOAUTHOR8,bill2012
fredriksen2014,bill2012
gullbekk2014,bill2012
lund2017,bill2012
pedersen2015,bill2012
macphail2013,bill2012
axelsen2014,bill2012
williams2014,bill2012
williams2016,bill2012
lund2021,bjerg2013
croix2015,bjerg2013
lund2021,blaszczyk2017
lund2021,d2016
lund2021,bogucki2012
croix2015,bogucki2012
gardela2015,bogucki2012
jagodzinski2014,bogucki2012
weissnd,bogucki2012
lund2021,bonde2016
baug2019,bonde2016
bill2019,bonde2016
lund2021,borake2018
lund2021,borake2019
lund2021,boyd2013
lund2021,brather2013
lund2021,brewer2018
lund2021,brink2011
iversennd,brink2011
sanmark2013,brink2011
lund2021,buckberry2014
harris2017,buckberry2014
montgomery2014,buckberry2014
richards2018,buckberry2014
lund2021,buntgen2016
