citekey,title,year,generation,entry_type,first_author,doi,completeness,in_degree,out_degree,is_ghost
lund2021,Crossing the Maelstrom: New Departures in Viking Archaeology,2021,P,article,Lund Julie,10.1007/s10814-021-09163-3,1.0,0,568,False
aannestad2015,Transformasjoner: Omforming og Bruk av Importerte Gjenstander i Vikingetid,2015,F1,book,Aannestad Hanne,,0.778,6,0,False
aannestad2018,"Charisma, violence and weapons: The broken swords of the Vikings",2018,F1,incollection,Aannestad Hanne,,0.833,1,88,False
ahola2014,"Fibula, Fabula, Fact: The Viking Age in Finland",2014,F1,book,,10.21435/sfh.18,0.556,1,0,False
ahfeldt2013,"3D-scanner analyses of the Gotland Picture Stones; Workshops, Iconography and Dating. With supplementary material: Digital catalogue of 3D-data of picture stones",2013,F1,article,Åhfeldt Kitzler,,0.833,3,29,False
ambrosiani2013,"Part One: The Site and the Shore, Part Two: The Bronze Caster's Workshop. Birka Studies",2013,F1,book,Ambrosiani Björn,,0.667,6,0,False
ambrosiani2015,Small Things and Wide Horizons From a Birka Perspective,2015,F1,incollection,Ambrosiani Björn,10.2307/j.ctvr43jxs.35,0.917,1,15,False
amundsen2017,Changing histories and ethnicities in a Sámi and Norse borderland,2017,F1,article,Amundsen Hilde,10.1080/08003831.2017.1398537,1.0,4,116,False
anchukaitis2017,"Last millennium Northern Hemisphere summer temperatures from tree rings: Part II, spatially resolved reconstructions",2017,F1,article,Anchukaitis Kevin J.,10.1016/j.quascirev.2017.02.020,0.917,2,226,False
andersson2004,"Among Trees, Bones and Stone. The Sacred Grove at Lunda"". I: Anders Andrén, Kristina Jennbert & Catharina Raudvere (red.), Old Norse religion in long-term perspectives. Origins, changes and interactions",2004,F1,article,Andersson Gunnar,,0.889,10,0,False
andersson2016,Broby Bro -En plats där världen passerar. Stockholms läns museum rapport,2016,F1,article,Andersson Gunnar,,0.75,3,0,False
andersson2008,Hvorfor de første 200 årene? en introduksjon. de første 200 årene-nytt blikk på 27 skandinaviske middelalderbyer,2008,F1,article,Andersson E. B.,,0.833,8,0,False
andren2000,Re-Reading Embodied Texts: An Interpretation of Rune-Stones,2000,F1,article,Andrén Anders,,0.833,11,127,False
andren2002,"Studier av nordisk förkristen ritual, Lund (Vägar till Midgård 2)",2002,F1,incollection,Andrén Anders,,0.917,16,0,False
andren2013,The significance of places: The Christianization of Scandinavia from a spatial point of view,2013,F1,article,Andrén Anders,10.1080/00438243.2013.758939,1.0,6,65,False
andren2004,Ordning mot kaos: studier av nordisk förkristen kosmologi,2004,F1,article,Andrén Anders,,1.0,12,0,False
androshchuk2010,The Gift to Men and the Gift to the Gods: Weapon Sacrifices and the Circulation of Swords in Viking Age Society,2010,F1,incollection,Androshchuk Fedir,,0.833,1,82,False
androshchuk2013,Vikings in the East: Essays on Contacts along the Road to Byzantium (800-1100),2013,F1,book,Androshchuk Fedir,10.33063/m6c0cy98,0.889,6,0,False
androshchuk2014,"Viking swords. Swords and social aspects of weaponry in Viking Age societies. The Swedish History Museum, Studies, 23",2014,F1,article,Androshchuk Fedir,,0.75,8,0,False
androshchuk2018,Female Viking Revisited. Viking and Medieval Scandinavia,2018,F1,article,Androshchuk Fedir,,0.833,2,11,False
androshchuk2012,Cкaндинaвcкиe дpeвнocти Южнoй Pycи: кaтaлoг / Scandinavian Antiquities of Southern Rus: Catalogue,2012,F1,book,Androshchuk Fedir,,0.889,3,0,False
androshchuk2016,What Does Material Evidence tell Us about Contacts between Byzantium and the Viking World c. 800-1000?,2016,F1,book,Androshchuk Fedir,,0.889,2,0,False
arents2010,"Die Gräber von Haithabu. Band 2: Katalog, Listen, Tafeln, Beilagen",2010,F1,article,Arents U.,,0.889,10,0,False
armbruster2010,Trade and Communication-Network of the First Millennium Ad in the Northern Part of Central,2010,F1,article,Armbruster Barbara,,0.778,2,0,False
